toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:(  #…	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался не прав.	Read the letter from the Okhlotskna to the President. Unfortunately, Vania was so rude in the letter:(	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:(  #	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:(  #…	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:( #	Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:( #	Прочитала письмо Охлобыстина к президенту. Жаль, что Ваня оказался таким настоящим боевым героем:( #…	Прочитала письмо Охлобыстина к президенту. Жаль, что Ваня оказался настоящим бойцом.	Прочитала письмо Охлобыстина к президенту. Жаль, что Ваня оказался таким настоящим боевым боецом :( #...
не пиздеть - это удел депутатов и министров	Не врать это удел депутатов и министров	Don't be afraid - it's a joke and a joke is a joke.	не пиздеть - это удел депутатов и министров	Не пиздеть - это удел депутатов и министров	не пиздеть - это удел депутатов и министров	не пиздеть - это удел депутатов и министров	Не говорить вздор - это обязанность депутатов и министров.	Не говорить пустые слова - это обязанность депутатов и министров.	Не говорить ерунды - это обязанность депутатов и министров.
откуда вы бляди б еретесь	Откуда же вы беретесь?	Where do you think you are going to get your money from?	откуда вы бляди б еретесь	Откуда вы бляди б еретесь	откуда вы бляди б еретесь	откуда вы бляди б еретесь	Откуда вы, извините, беретесь?	Откуда вы, извините, беретесь?	Откуда вы все беретесь?
самая хуевая новость за последнее время:(	Самая плохая новость за последнее время	The most recent news is: (	Самая хуевая новость:(	Самая хуевая новость за последнее время:(	самая хуевая новость за последнее время:(	самая хуевая новость за последнее время:(	Самая неутешительная новость за последнее время:(	Самая неутешительная новость за последнее время:(	Самая плохая новость за последнее время :(
Твою мать! За что блять? Соплей и кашля мало,теперь глаза начали гноиться!!! Он их открыть не может( все так во время!	Соплей и кашля мало, теперь глаза начали гноиться. Он их открыть не может. Всё так во время.	Motherfuckers! Why do you need to be so rude? Stop it, you're getting on my nerves!!!	Твою мать! За что блять? Соплей и кашля мало,теперь глаза начали гноиться!!! Он их открыть не может( все так во время!	Твою мать! За что блять? Соплей и кашля мало,теперь глаза начали гноиться!!! Он их открыть не может( все так во время!	Твою мать! За что блять? Соплей и кашля мало, теперь глаза начали гноиться!!! Он их открыть не может( все так вовремя!	Твою мать! За что блять? Соплей и кашля мало,теперь глаза начали гноиться!!! Он их открыть не может( все так во время!	Боже мой! Что происходит? Сначала сопли и кашель, а теперь еще и глаза начали гноиться! Он даже не может их открыть. Все так неожиданно!	Ой, какая беда! Почему так получилось? Сначала насморк и кашель, а теперь еще и глаза начали гноиться! Он даже их открыть не может. Все так не вовремя!	Твою мать! За что это? Соплей и кашля мало, теперь глаза начали гноиться!!! Он их открыть не может, все так вовремя!
это жопа мира! диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))	диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))	This is a joke! Doctor in the study!!!! and Parikmaxeur!!!! Money is there, but not on his own, he is waiting, he is waiting))))))))))))	"""Желательно, что они не могут, а мы могли!"" - Т. М. Кузов"	Деньги есть, а на себя не тратит, копит, ждет))))))))))))))	это жопа мира! диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))	это жопа мира! диетолога в студию!!!! и парикмахера!!!! деньги есть, но на себя не тратит, копит, ждет))))))))))))))	Это действительно сложная ситуация! Может быть, стоит обратиться к диетологу и парикмахеру? У нее есть деньги, но она предпочитает их сохранить, возможно, ожидая чего-то особенного.	Это место действительно нуждается в помощи диетолога и парикмахера! У человека есть деньги, но он предпочитает их копить и ждать.	Это проблема мира! Нужен диетолог и парикмахер! Есть деньги, но не тратит на себя, а копит и ждет.
Меня потом развозит,как говно по пеньку((	Меня потом сильно развозит.	I will be back, as promised.	Меня потом развозит,как говно по пеньку((	Меня потом развозит,как говно по пеньку	После меня развозит,как говно по пеньку((	потом развозит,как говно по пеньку((	Потом меня развозят, как по пеньку.	Потом меня развозят, как говно по пеньку((	Меня потом развозит, как говорится, по пеньку((
найти этого мужчину и оторвать ему его потряхушки	Найти этого мужчину и наказать	Find this man and kill him for his crimes.	найти этого мужчина и оторвать его потряхушки	Найти этого мужчина и оторвать его потряхушки	найти этого мужчину и оторвать ему его потряхушки	найти этого мужчину и оторвать ему его потряхушки	найти этого мужчину и забрать у него его вещички	Найти этого мужчину и отобрать у него его вещи.	 Найти этого мужчину и оторвать ему его волосы.
АХАХАХХАФАКФАААААААКЮЛЯМНЕ НАДО СТИХ УЧИТЬФАААААААААААААААААКАХАХХАХАХ:(Я ПОШЕЛНОЧЬ БУДЕТ ВЕСЕЛОЙ	Мне надо стих учить( я пошёл,ночь будет веселой	I am sorry for the offense.	АХАХАХХАФАКФАААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА	АХАХАХХАФАКФАААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА	AHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA	AHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA	Ха-ха-ха, я не очень хорошо учу стихи. Но ночь будет веселой!	Ха-ха-ха, мне не нужно учить стихи, ахахах:( Пойду ночью будет весело.	Хаха, мне не надо учить стихи, я пойду, ночь будет веселой.
называйте вещи своими именами ,два пидора на лужайке	Называйте вещи своими именами	Call the things by their names, two peas in a pod.	называйте вещи своими именами ,два пидора на лужайке	Называйте вещи своими именами ,два пидора на лужайке	называйте вещи своими именами,два пидора на лужайке	называйте вещи своими именами,два пидора на лужайке	называйте вещи своими именами, два мужчины на лужайке	Называйте вещи своими именами, два мужчины на лужайке.	 Называйте вещи своими именами, два парня на лужайке.
37 вылетов за 10 минут!!!!! сосите жопу твари	37	37 launches in 10 minutes!!!	37 вылетов за 10 минут!!! сосите жопу твари	37 вылетов за 10 минут!!!	37 вылетов за 10 минут!!!!! сосите жопу твари	37 вылетов за 10 минут!!!!! сосите жопу твари	37 вылетов за 10 минут!!!!! Пожалуйста, уберитеся отсюда.	37 вылетов за 10 минут - это впечатляюще!	37 вылетов за 10 минут!!!!! Это невероятно!
да надо было е му как широков заебашить прям на поле:-d﻿	да надо было ему как широков забить прям на поле	I would like to be able to do that in the field, too:-D	Да, надо было е му, как широков заебашить прям на поле:-d	Да, надо было е му, как широков заебашить прям на поле:-d	да надо было е му как широков заебашить прям на поле:-d	да надо было ему как Широков заебашить прям на поле:-d	Да, было бы забавно, если бы его широко обогнали прямо на поле:-D	Да, было бы забавно посмотреть, как он играет на поле с таким страстным участием! :-D	Да, надо было его как широков заебашить прямо на поле :-D﻿
и,чё,блядь где этот херой был до этого со своими доказательствами?	и,где этот герой был до этого со своими доказательствами?	And, by the way, where was this idiot before he had his own evidence?	и,чё,блядь где этот херой был до этого со своими доказательствами?	И,чё,блядь где этот херой был до этого со своими доказательствами?	и,чё,блядь где этот херой был до этого со своими доказательствами?	и,чё,блядь где этот херой был до этого со своими доказательствами?	И где же был этот человек до этого со своими доказательствами?	Извините, но где был этот человек раньше с его доказательствами?	И, где этот человек был до этого со своими доказательствами?
- у тебя уже борода растёт...- ну так пф- а я с пидорскими усиками хожу((....- ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	У тебя уже борода растёт - ну так пф - а я с усиками хожу - вот перестанешь пикать - вырастет	- У тебя уже борода растёт...- Ну так пф- а я с пидорскими усиками хожу((....- ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	- У тебя уже борода растёт...- Ну так пф- а я с пидорскими усиками хожу((....-	ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	- у тебя уже борода растёт...- ну так пф- а я с пидорскими усиками хожу((....- ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	- у тебя уже борода растёт...- ну так пф- а я с пидорскими усиками хожу((....- ВОТ ПЕРЕСТАНЕШЬ ПИКАТЬ ТРУНДА - ВЫРАСТЕТ!- АХАХАХ- АХХАХ	- У тебя уже начинает расти бородка...- Ну так вот, я с такими маленькими усиками хожу((....- Когда ты перестанешь шутить, они вырастут!- Хахаха- Хахаха	У тебя уже начинает расти борода, а я все еще хожу с маленькими усиками. Когда ты перестанешь дразнить меня, у меня тоже вырастет! Ха-ха-ха!	- У тебя уже борода растет...- Ну так да- а я с неприятными усиками хожу((....- Вот перестанешь пикать трунду - вырастет!- Ахаха- Ахах
Мир несправедлив:( я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир несправедлив,не люблю свою спину ,отвались	My bad:( I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face, I can't see my face,	Мир несправедлив:( я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир несправедлив:( Я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир несправедлив:( я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир несправедлив:( я ненавижу свою спину тттт не.на.ви.жу. сука, отвались нахуй.	Мир не всегда справедлив:( Я не люблю свою спину, но не ненавижу. Пожалуйста, уйди.	Мир не всегда бывает справедливым, иногда бывает трудно смириться с тем, что происходит. Но я стараюсь не ненавидеть свою спину, хотя это бывает сложно.	Мир несправедлив:( я не люблю свою спину тттт не.на.ви.жу. сука, отвались нахуй.
ОН ВАПЩИ ДЭБИЛ(((( НИГРАМОТНЫЙ(	Он вообще не грамотный	This is a joke, don't take it seriously.	ОН ВАПЩИ ДЭБИЛ(((( НИГРАМОТНЫЙ(	Он вам не пришел, а вам пришел?	ОН ВАПЩИ ДЭБИЛ(((( НИГРАМОТНЫЙ(	ОН ВАПЩИ ДЭБИЛ(((( НИГРАМОТНЫЙ(	Он не очень умный(((( Неграмотный.	Он не очень умный и не очень грамотный.	Он вообще не очень умный(((( Неграмотный(
